n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,11.013,0.575674,nan
2,1,128,111,8.970,0.594688,0.55546816
3,2,128,111,9.184,0.601681,0.35555785
4,3,128,111,8.873,0.602340,0.21521138
5,4,128,111,9.384,0.605847,0.19144794
6,5,128,111,8.937,0.608751,0.15458366
7,6,128,111,9.076,0.608530,0.13447582
8,7,128,111,9.613,0.608988,0.11369885
9,8,128,111,9.375,0.608393,0.09279982
10,9,128,111,9.527,0.608489,0.09140686
11,10,128,111,9.046,0.599145,0.09005016
12,11,128,111,9.471,0.598318,0.10670147
13,12,128,111,9.017,0.597198,0.07983443
14,13,128,111,8.877,0.596039,0.09105849
15,14,128,111,9.170,0.596795,0.09373611
16,15,128,111,9.423,0.595271,0.06234970
17,16,128,111,9.073,0.595362,0.06868406
18,17,128,111,9.270,0.596302,0.06558204
19,18,128,111,9.642,0.596654,0.05323267
20,19,128,111,8.950,0.595934,0.05160880
21,20,128,111,9.350,0.594207,0.04788858
22,21,128,111,8.979,0.592747,0.04184993
23,22,128,111,8.689,0.592482,0.04676713
24,23,128,111,8.704,0.592301,0.04695892
25,24,128,111,8.902,0.591892,0.04928788
26,25,128,111,8.676,0.591569,0.03741249
27,26,128,111,8.865,0.591465,0.04101643
28,27,128,111,8.793,0.591310,0.05307664
29,28,128,111,8.815,0.590719,0.04866632
30,29,128,111,8.711,0.590659,0.03312679
31,30,128,111,8.775,0.590597,0.03214499
32,31,128,111,8.776,0.589843,0.03318815
33,32,128,111,8.680,0.589178,0.04402474
34,33,128,111,8.860,0.587035,0.02861786
35,34,128,111,8.775,0.586227,0.02493657
36,35,128,111,8.765,0.585998,0.02715739
37,36,128,111,8.899,0.584993,0.02506321
38,37,128,111,8.873,0.585127,0.02984795
39,38,128,111,8.967,0.584414,0.02633172
40,39,128,111,8.873,0.584251,0.03277895
41,40,128,111,8.877,0.584172,0.02796003
42,41,128,111,8.883,0.583911,0.02492439
43,42,128,111,9.115,0.584162,0.02826377
44,43,128,111,8.972,0.584357,0.02612841
45,44,128,111,9.080,0.584243,0.02173587
46,45,128,111,9.030,0.584270,0.02314251
47,46,128,111,8.837,0.584433,0.02497006
48,47,128,111,9.053,0.584359,0.02055812
49,48,128,111,8.864,0.584700,0.02339389
50,49,128,111,9.371,0.585323,0.01895658
51,50,128,111,9.129,0.585833,0.03336931
52,51,128,111,9.011,0.586029,0.02878709
53,52,128,111,9.048,0.585564,0.02162659
54,53,128,111,8.941,0.585599,0.02263121
55,54,128,111,8.917,0.585646,0.02544958
56,55,128,111,8.995,0.585813,0.02089475
57,56,128,111,8.958,0.585116,0.01723698
58,57,128,111,9.273,0.585010,0.02019416
59,58,128,111,9.084,0.584982,0.01956591
60,59,128,111,8.969,0.585153,0.02026530
61,60,128,111,9.315,0.585206,0.01988768
62,61,128,111,8.864,0.584939,0.01670595
63,62,128,111,8.474,0.584389,0.01552402
64,63,128,111,8.782,0.583967,0.01820587
65,64,128,111,8.676,0.584309,0.01678147
66,65,128,111,9.275,0.583770,0.01445874
67,66,128,111,8.977,0.583328,0.01360347
68,67,128,111,8.739,0.583544,0.01613074
69,68,128,111,8.707,0.583459,0.01347015
70,69,128,111,8.808,0.583271,0.01418813
71,70,128,111,8.767,0.583480,0.01525673
72,71,128,111,8.768,0.583543,0.01369650
73,72,128,111,8.790,0.583068,0.01535173
74,73,128,111,8.890,0.582672,0.01709013
75,74,128,111,8.872,0.582395,0.01190406
76,75,128,111,8.876,0.581746,0.01503649
77,76,128,111,8.873,0.581717,0.01480379
78,77,128,111,8.877,0.581923,0.01346949
79,78,128,111,8.887,0.581834,0.01139313
80,79,128,111,8.919,0.581728,0.01380799
81,80,128,111,8.793,0.581354,0.01681760
82,81,128,111,8.793,0.581176,0.01423272
83,82,128,111,9.147,0.581231,0.01256274
84,83,128,111,8.765,0.581344,0.01361008
85,84,128,111,8.876,0.581498,0.01579378
86,85,128,111,8.762,0.581121,0.01341720
87,86,128,111,8.867,0.581254,0.01397441
88,87,128,111,8.669,0.581294,0.01388851
89,88,128,111,8.753,0.581574,0.01345796
90,89,128,111,8.355,0.581528,0.01446722
91,90,128,111,8.741,0.581408,0.01531923
92,91,128,111,8.642,0.581574,0.01101110
93,92,128,111,8.946,0.581428,0.01305414
94,93,128,111,8.838,0.581516,0.01143517
95,94,128,111,8.745,0.581594,0.01381821
96,95,128,111,8.773,0.581624,0.00989562
97,96,128,111,8.328,0.581570,0.01573819
98,97,128,111,8.846,0.581650,0.01001570
99,98,128,111,8.937,0.581730,0.01007233
100,99,128,111,8.872,0.581696,0.00956418
101,100,128,111,8.742,0.581709,0.01280353
102,101,128,111,8.660,0.581508,0.01176689
103,102,128,111,8.746,0.581402,0.00964484
104,103,128,111,8.693,0.581548,0.00906394
105,104,128,111,8.741,0.581683,0.00950711
106,105,128,111,8.747,0.581745,0.00899701
107,106,128,111,8.756,0.581902,0.01057669
108,107,128,111,8.659,0.581652,0.01038021
109,108,128,111,8.643,0.581859,0.01107691
110,109,128,111,8.754,0.581517,0.01062596
111,110,128,111,8.760,0.581684,0.01292010
112,111,128,111,8.896,0.581485,0.00951918
113,112,128,111,8.843,0.581387,0.00923894
114,113,128,111,8.881,0.581525,0.00938625
115,114,128,111,8.759,0.581690,0.00883968
116,115,128,111,8.888,0.581528,0.01125228
117,116,128,111,8.871,0.581665,0.00873520
118,117,128,111,8.777,0.581808,0.00904363
119,118,128,111,8.782,0.581821,0.00838930
120,119,128,111,8.791,0.581810,0.01043129
121,120,128,111,8.844,0.581752,0.01023866
122,121,128,111,8.770,0.581776,0.00869862
